Company / Agency,Email,Type,Status,Date Applied,Follow-up Date,Notes
Kershaw Leonard,mike@kershawleonard.net,Agency,To Contact,,,
Lobo Management,lobo@lobomanagement.com,Agency,To Contact,,,
Mackenzie Jones,info@mackenziejones.com,Agency,To Contact,,,
Manpower Middle East,info@manpower-me.com,Agency,To Contact,,,
Michael Page,clientmiddleeast@michaelpage.ae,Agency,To Contact,,,
Nadia Global,Contact@nadiaglobal.com,Agency,To Contact,,,
Nathan HR,info@nathanhr.com,Agency,To Contact,,,
Pact Employment,info@pactemployment.ae,Agency,To Contact,,,
Randstad,corporate.communications@randstad.com,Agency,To Contact,,,
Rawafed,careers@rawafed.ae,Agency,To Contact,,,
Reach Group,jobs@reachgroup.ae,Agency,To Contact,,,
Receptionist PA,info@receptionistpa.com,Agency,To Contact,,,
SSA Ltd,ian.mclean@ssaltd.com,Agency,To Contact,,,
Sawaeed,info@sawaeed.ae,Agency,To Contact,,,
Spark,sparkmos@spark.ae,Agency,To Contact,,,
Sundus Recruitment,cv@sundusrecruitment.com ; info@sundusrecruitment.com,Agency,To Contact,,,
TASC Outsourcing,dxbjobs@tascoutsourcing.com ; request@tascoutsourcing.com ; info@tascoutsourcing.com,Agency,To Contact,,,
Talascend,talascend.marketing@talascend.com,Agency,To Contact,,,
UHRS,info@uhrs.ae,Agency,To Contact,,,
Xperts Jobs,cv@xpertsjobs.com,Agency,To Contact,,,
ACX,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,
Addenda,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,
Amwal,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,
Caliberly,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,
Cander,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,
Charterhouse,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,
Cooper Fitch,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,
Greengage,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,
Halian,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,
KinFitz & Co,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,
Masdar,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,
Million,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,
Petty,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,
Salt,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,
She is Arab,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,
Sparklo,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,
Umatr,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,
